Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
gpt-5+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.307,0.012,0.009,0.017,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro+gpt-5
gpt-5+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.107,0.094,0.067,0.13,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro+gpt-5
gpt-5+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,10,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+gemini-2.5-pro+gpt-5
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.058,0.008,0.006,0.011,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.408,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.337,0.231,0.163,0.32,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,9.722,1.964,1.389,2.722,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5+llama-4-scout+gemini-2.5-pro
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.042,0.031,0.022,0.043,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.354,0.078,0.055,0.108,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.2,0.103,0.073,0.142,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,8.392,0.989,0.699,1.371,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gemini-2.5-pro+gpt-5
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.015,0.007,0.005,0.01,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.307,0.012,0.009,0.017,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.183,0.201,0.142,0.279,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
gpt-5-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,8.333,2.357,1.667,3.267,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+llama-4-scout+gemini-2.5-pro
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.124,0.018,0.013,0.025,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,1.77,0.022,0.016,0.031,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,11.25,1.768,1.25,2.45,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.0-flash+claude-3.7-sonnet
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.037,0.038,0.027,0.053,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.38,0.04,0.029,0.056,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.705,0.103,0.073,0.143,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,11.111,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+gemini-2.5-pro+gpt-5
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.284,0.07,0.049,0.097,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.331,0.153,0.108,0.212,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-maverick+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,9.091,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.058,0.008,0.006,0.011,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,1.725,0.042,0.03,0.058,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,9.167,1.179,0.833,1.633,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash+claude-3.7-sonnet
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,10,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,10,1.012,0.011,0.003,0.007,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,10,1.299,0.058,0.018,0.036,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,10,2.38,0.234,0.074,0.145,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,10,14.369,2.826,0.894,1.751,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,None,nnh_cumulative,10,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,10,1.028,0.018,0.006,0.011,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,10,1.357,0.052,0.017,0.032,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,10,2.419,0.273,0.086,0.169,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,10,11.952,4.266,1.349,2.644,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro+gpt-5
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.005,0.007,0.005,0.01,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.307,0.012,0.009,0.017,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.47,0.043,0.03,0.06,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
llama-4-scout+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,16.25,5.303,3.75,7.35,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout+gemini-2.5-pro
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,None,nnh_cumulative,1,1,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,1,1.01,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,1,1.25,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,1,1.852,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,1,6.667,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash+claude-3.7-sonnet
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.064,0.016,0.011,0.022,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.371,0.053,0.038,0.074,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.227,0.14,0.099,0.194,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+gemini-2.5-pro+gpt-5,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,8.846,1.632,1.154,2.262,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro+gpt-5
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,None,nnh_cumulative,2,1,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Uncertain,nnh_cumulative,2,1.058,0.008,0.006,0.011,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Mild,nnh_cumulative,2,1.309,0.06,0.043,0.084,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Moderate,nnh_cumulative,2,2.175,0.067,0.047,0.093,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
o3-mini+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Stewardship,Severe,nnh_cumulative,2,7.738,0.842,0.595,1.167,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout+gemini-2.5-pro
No Intervention,Agent1,Control,Uncertain,normalized,1,14,NA,NA,NA,668.84,122.897,NO,AllCases,Unanimous,AllHarm,<span style='color:blue'><b>No Intervention</b></span>
No Intervention,Agent1,Control,Mild,normalized,1,21,NA,NA,NA,668.84,122.897,NO,AllCases,Unanimous,AllHarm,<span style='color:blue'><b>No Intervention</b></span>
No Intervention,Agent1,Control,Moderate,normalized,1,33,NA,NA,NA,668.84,122.897,NO,AllCases,Unanimous,AllHarm,<span style='color:blue'><b>No Intervention</b></span>
No Intervention,Agent1,Control,Severe,normalized,1,29,NA,NA,NA,668.84,122.897,NO,AllCases,Unanimous,AllHarm,<span style='color:blue'><b>No Intervention</b></span>
Random Intervention,Agent1,Control,Uncertain,normalized,10,354.1,12.948,4.095,8.025,NA,206.908,NO,AllCases,Unanimous,AllHarm,<span style='color:red'><b>Random Intervention</b></span>
Random Intervention,Agent1,Control,Mild,normalized,10,209.5,13.994,4.425,8.674,NA,206.908,NO,AllCases,Unanimous,AllHarm,<span style='color:red'><b>Random Intervention</b></span>
Random Intervention,Agent1,Control,Moderate,normalized,10,185.8,8.417,2.662,5.217,NA,206.908,NO,AllCases,Unanimous,AllHarm,<span style='color:red'><b>Random Intervention</b></span>
Random Intervention,Agent1,Control,Severe,normalized,10,61.3,5.579,1.764,3.458,NA,206.908,NO,AllCases,Unanimous,AllHarm,<span style='color:red'><b>Random Intervention</b></span>
Consensus,Agent1,Solo,Uncertain,normalized,10,345.3,9.31,2.944,5.77,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
Consensus,Agent1,Solo,Mild,normalized,10,103.5,3.028,0.957,1.877,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
Consensus,Agent1,Solo,Moderate,normalized,10,63.2,3.293,1.041,2.041,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
Consensus,Agent1,Solo,Severe,normalized,10,16,1.054,0.333,0.653,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
claude-3.7-sonnet,Agent1,Solo,Uncertain,normalized,10,415.9,9.758,3.086,6.048,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
claude-3.7-sonnet,Agent1,Solo,Mild,normalized,10,109.8,3.393,1.073,2.103,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
claude-3.7-sonnet,Agent1,Solo,Moderate,normalized,10,79.1,2.885,0.912,1.788,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
claude-3.7-sonnet,Agent1,Solo,Severe,normalized,10,16.8,1.398,0.442,0.867,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
deepseek-r1,Agent1,Solo,Uncertain,normalized,11,460.545,15.902,4.795,9.397,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
deepseek-r1,Agent1,Solo,Mild,normalized,11,113.636,7.46,2.249,4.409,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
deepseek-r1,Agent1,Solo,Moderate,normalized,11,78,5.604,1.69,3.311,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
deepseek-r1,Agent1,Solo,Severe,normalized,11,14.364,2.58,0.778,1.524,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
gemini-2.0-flash,Agent1,Solo,Uncertain,normalized,10,647.2,12.336,3.901,7.646,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.0-flash,Agent1,Solo,Mild,normalized,10,164.5,8.357,2.643,5.179,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.0-flash,Agent1,Solo,Moderate,normalized,10,117,3.496,1.106,2.167,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.0-flash,Agent1,Solo,Severe,normalized,10,14.6,1.647,0.521,1.021,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.5-flash,Agent1,Solo,Uncertain,normalized,14,507.357,15.559,4.158,8.15,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-flash,Agent1,Solo,Mild,normalized,14,141.214,6.423,1.717,3.365,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-flash,Agent1,Solo,Moderate,normalized,14,70,6.251,1.671,3.275,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-flash,Agent1,Solo,Severe,normalized,14,10.786,1.968,0.526,1.031,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-pro,Agent1,Solo,Uncertain,normalized,21,366.667,9.302,2.03,3.979,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gemini-2.5-pro,Agent1,Solo,Mild,normalized,21,110.286,7.022,1.532,3.004,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gemini-2.5-pro,Agent1,Solo,Moderate,normalized,21,59.857,4.861,1.061,2.079,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gemini-2.5-pro,Agent1,Solo,Severe,normalized,21,15.81,3.544,0.773,1.516,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gpt-4.1,Agent1,Solo,Uncertain,normalized,10,524.2,8.535,2.699,5.29,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1,Agent1,Solo,Mild,normalized,10,132.4,5.379,1.701,3.334,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1,Agent1,Solo,Moderate,normalized,10,95.1,3.843,1.215,2.382,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1,Agent1,Solo,Severe,normalized,10,25.1,1.37,0.433,0.849,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1-mini,Agent1,Solo,Uncertain,normalized,10,476.7,9.322,2.948,5.778,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4.1-mini,Agent1,Solo,Mild,normalized,10,167.2,3.765,1.191,2.334,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4.1-mini,Agent1,Solo,Moderate,normalized,10,125,6.074,1.921,3.764,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4.1-mini,Agent1,Solo,Severe,normalized,10,35.4,3.134,0.991,1.942,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4o,Agent1,Solo,Uncertain,normalized,10,460.8,14.778,4.673,9.16,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o,Agent1,Solo,Mild,normalized,10,170.3,6.977,2.206,4.324,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o,Agent1,Solo,Moderate,normalized,10,118.2,7.829,2.476,4.852,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o,Agent1,Solo,Severe,normalized,10,28.6,3.502,1.108,2.171,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o-mini,Agent1,Solo,Uncertain,normalized,10,285.6,11.365,3.594,7.044,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-4o-mini,Agent1,Solo,Mild,normalized,10,229.1,6.064,1.917,3.758,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-4o-mini,Agent1,Solo,Moderate,normalized,10,135.3,4.473,1.415,2.773,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-4o-mini,Agent1,Solo,Severe,normalized,10,40.1,4.725,1.494,2.928,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-5,Agent1,Solo,Uncertain,normalized,10,239,10.719,3.39,6.643,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5,Agent1,Solo,Mild,normalized,10,107.4,5.582,1.765,3.46,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5,Agent1,Solo,Moderate,normalized,10,68.6,3.864,1.222,2.395,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5,Agent1,Solo,Severe,normalized,10,17.9,2.807,0.888,1.74,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5-mini,Agent1,Solo,Uncertain,normalized,10,283.7,16.674,5.273,10.334,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-mini,Agent1,Solo,Mild,normalized,10,113.8,5.846,1.849,3.623,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-mini,Agent1,Solo,Moderate,normalized,10,78.8,6.957,2.2,4.312,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-mini,Agent1,Solo,Severe,normalized,10,21.4,1.838,0.581,1.139,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-nano,Agent1,Solo,Uncertain,normalized,10,370.6,17.154,5.425,10.632,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
gpt-5-nano,Agent1,Solo,Mild,normalized,10,159.5,10.124,3.202,6.275,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
gpt-5-nano,Agent1,Solo,Moderate,normalized,10,110.2,10.57,3.343,6.552,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
gpt-5-nano,Agent1,Solo,Severe,normalized,10,24.5,3.951,1.249,2.449,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
lisa,Agent1,Solo,Uncertain,normalized,30,434.967,10.549,1.926,3.775,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
lisa,Agent1,Solo,Mild,normalized,30,104.867,4.637,0.847,1.659,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
lisa,Agent1,Solo,Moderate,normalized,30,68.967,4.46,0.814,1.596,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
lisa,Agent1,Solo,Severe,normalized,30,13.3,2.535,0.463,0.907,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:#6A0DAD'><b>Commercial RAG</b></span>
llama-3.3-70b,Agent1,Solo,Uncertain,normalized,10,616.8,25.094,7.936,15.554,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-3.3-70b
